hh_id,ifh,formal,pc_income,pc_spend,water_bill,electricity_bill,medicines,hosp_sugery,vaccines,dental,woman,age,educ,nb_hh_members,hh_woman
14400,78.6324768066406,1,6006,9488.60864328868,15,57,1,0,0,0,0,49,11,5,0
13392,82.6617813110352,0,6600.5,5843.21973175023,18,40,0,0,0,0,1,54,14,2,1
14204,57.1428565979004,0,3304.79102040816,2045.2,40,50,0,0,0,0,0,13,9,5,0
14455,40.293041229248,1,4774.4,5570.93910547916,15,26,1,0,0,1,1,34,3,5,0
14507,68.2539672851562,0,13345.4,4627.8,46,54,1,0,0,1,0,65,14,5,0
13916,45.6654472351074,0,7504,10124.7184423757,12,83,1,0,0,0,0,21,12,2,0
13659,66.4224700927734,0,1873.66666666667,3561.54845767626,35,35,1,0,0,0,1,15,10,6,0
14714,18.3150177001953,0,2771.8,3211.14592147605,6,19,1,0,0,0,1,38,9,5,0
14026,62.1489639282227,1,10347.5,7893.67925173614,42,120,0,0,0,0,0,64,11,4,1
14261,100,1,39700.3333333333,24618.3579668954,50,170,1,0,0,0,0,12,6,3,1
13700,65.6898651123047,0,5882,3672.12109770951,40,30,1,0,0,0,1,86,0,5,1
14615,89.6214904785156,1,17694.4889937107,15821.5906767936,40,90,1,1,0,0,0,48,14,3,1
13544,80.0976791381836,1,8050.6,3067.70571625989,60,70,1,0,0,0,1,76,6,10,1
13920,39.6825408935547,0,1796.2,4100.6833683088,20,23,1,0,0,0,0,23,9,5,1
14600,57.1428565979004,1,2682.55555555556,2465.44444444444,45,90,0,0,0,0,0,26,11,9,1
13451,67.6434707641602,1,8715.19691789998,7048.26719045086,70,148,1,0,0,0,1,50,13,7,0
15124,84.9816818237305,1,51601.3333333333,20799.8833908668,41,135,0,0,0,0,0,40,13,3,0
14781,53.9682540893555,1,7822.69526854872,2537.11111111111,25,50,0,0,0,0,1,24,16,9,0
13633,83.7606811523438,1,11196.5195669019,9153.40136999914,48,110,0,0,0,0,0,6,0,7,0
14846,53.9682540893555,0,2539.76471156705,4975.26116659494,10,10,0,0,0,0,1,17,8,5,0
14141,79.7313766479492,1,5995.66666666667,4783.45213950675,70,110,0,0,0,0,1,66,11,6,1
13298,70.3296737670898,0,12035,11532.2252687095,40,90,1,0,0,0,1,53,11,2,1
13482,47.9853515625,1,10340.3333333333,6611.37526519866,16,32,0,0,0,0,0,53,11,3,0
13415,50.7936515808105,1,6737,5066.5,20,20,1,0,0,1,1,40,11,2,1
14149,40.7814407348633,0,5681.16666666667,3888.29066035193,3,7,0,1,0,0,0,35,10,6,0
13333,71.5506744384766,0,6101,7234.6297641496,37,103,1,0,0,1,1,12,7,6,1
13791,29.3040294647217,0,5050.25,3573.76869400688,10,25,1,0,0,0,0,20,11,4,0
13812,76.3125762939453,0,12235.6666666667,7598.94362706119,70,100,0,0,0,0,0,58,14,3,0
13706,72.8937759399414,0,4901.56,5266,50,70,0,0,0,1,1,7,1,5,0
14731,53.9682540893555,0,2786.16666666667,2991.34837240565,22,50,1,0,0,1,1,20,11,6,0
13743,67.521369934082,0,10917,10008,35,90,0,0,0,0,0,58,6,2,0
15075,50.1831512451172,1,8169.5,6015.53787895661,32,20,0,0,0,0,1,49,10,4,1
13468,81.0744781494141,0,8732.65045281414,5088.7399722492,40,40,0,0,0,0,0,30,14,3,0
15052,77.2893753051758,1,8472.4,7631.63441749323,50,80,0,0,0,0,0,53,11,5,0
13538,71.3064727783203,1,14503.4,4225.55556301693,25,63,1,0,1,0,1,2,0,5,0
14340,42.0024452209473,1,7746.6,6826.03322171544,13,60,1,0,0,0,0,27,11,5,0
13511,90.1098937988281,1,13526.5,6303.39839043634,80,100,0,0,0,0,0,35,13,10,0
14602,61.1721611022949,1,4364,5869.73036864532,120,120,1,0,0,0,1,25,13,4,0
14742,49.8168525695801,0,2452.4,1851.88720226199,12,16,0,0,0,0,1,7,1,5,1
13946,84.6153869628906,0,18675.6,15994.486162839,37,92,0,0,0,1,0,30,16,5,1
13520,76.6788787841797,0,1411.5,4070.21274154994,25,70,0,0,0,1,1,61,11,2,1
15416,61.9047622680664,0,14522.5,10419.0248647439,49,112,1,0,1,0,1,55,11,4,1
14171,55.3113555908203,0,19211,3709.8,0,25,0,0,0,0,1,66,3,5,0
15272,91.6971893310547,1,13498.8,7318.777320549,25,69,0,0,0,0,1,22,13,5,1
14349,44.4444465637207,0,8060,3313.21783371327,14,30,0,0,0,0,0,41,11,4,0
14828,46.8864479064941,0,1309.5,1652.92224518527,17,20,1,0,0,0,0,39,9,6,0
14793,59.5848617553711,0,1031.25,5390.48708453561,20,150,0,0,1,0,1,44,11,4,1
15347,52.5030555725098,1,12260.25,7794.25,25,55,0,0,0,0,1,25,16,4,0
14123,70.3296737670898,0,7654.5,11231.75,10,70,1,0,0,1,1,13,8,4,0
14610,68.009765625,0,5453,4112.4,30,80,0,0,0,0,0,6,0,5,1
14928,51.6483535766602,0,2936.2,2586.27893021266,63,63,0,0,0,0,1,16,10,5,0
15314,83.0280838012695,0,6686.8,4742.12160565233,24,56,1,0,0,0,0,10,4,5,0
14662,81.4407806396484,1,4955,9068.59501595735,45,75,0,0,0,1,1,53,16,4,0
14319,59.3406600952148,1,6144,9394.67830055001,20,30,1,0,0,1,1,50,3,3,1
14959,43.5897445678711,0,16454,6940.55121197457,0,40,1,0,0,0,0,29,11,4,0
14481,90.1098937988281,1,72219,18388.8356896472,80,160,1,1,0,0,0,80,16,2,0
15219,56.288158416748,0,10259.5,4665.86854505255,9,50,0,0,0,0,0,25,1,2,0
14941,45.5433464050293,0,1785.8,2780.48375645315,25,30,0,0,1,0,0,0,0,5,0
13497,25.0305271148682,1,4998,4713.21339253245,24,30,1,0,0,0,1,11,4,7,0
14917,61.294261932373,0,16559.25,15577.9204377038,30,40,1,0,0,1,0,23,14,4,0
14922,67.1550674438477,1,3423.85714285714,3796.56308733938,45,50,1,0,0,0,1,14,9,7,1
14635,72.1611709594727,0,2160.33333333333,2479.09529875515,30,75,0,0,0,0,0,82,3,3,0
13882,55.4334564208984,1,8569.1875,4645.25,41,80,0,0,0,0,0,24,14,8,1
14767,79.9755783081055,0,1945.95667246678,2246.4,0,0,0,0,0,0,1,41,16,5,0
13398,43.1013450622559,0,7141,9214.26625613247,30,50,0,0,0,0,1,16,9,2,0
14701,19.6581211090088,0,1437.66666666667,3723.33333333333,6,20,1,0,1,0,0,3,0,3,1
15084,42.9792442321777,0,1846.75,2002.60674134677,20,20,0,0,0,0,0,32,11,4,0
14070,93.528694152832,1,19463.2,12553.8302331878,32,94,1,0,0,0,1,4,0,5,0
14823,55.5555572509766,1,6719.75,8332.90854924989,15,65,0,0,0,0,1,18,11,4,0
15095,27.838830947876,1,3444.26666666667,2581.02018556835,105,45,1,0,0,0,1,9,3,15,1
15421,23.6874237060547,0,2681.33333333333,6017.2258639531,0,0,1,0,0,0,1,19,11,3,0
14087,94.5054931640625,0,4904.14197432891,6470.2,120,200,1,0,0,0,0,72,18,5,0
14814,62.5152626037598,1,9582.5,5649.68816965905,25,64,0,0,0,1,0,38,13,2,0
13735,80.7081832885742,1,13390.5,4491.7550623829,14,47,1,1,0,0,1,66,11,6,0
13908,52.6251525878906,0,2999.75,2969.0914417463,10,20,1,0,0,0,0,35,11,8,1
14186,54.9450569152832,0,14026.1666666667,10769.3801153119,25,135,1,0,0,0,1,49,8,6,0
15124,84.9816818237305,1,51601.3333333333,20799.8833908668,41,135,0,0,0,1,1,20,11,3,0
14290,17.4603176116943,1,6193,3260.21985813514,0,45,0,0,0,0,1,7,1,7,0
13378,84.0048828125,1,6883.5055542828,7190.18284671786,120,230,0,0,0,0,1,22,6,5,0
13613,78.0219802856445,1,5928,11770.9743715728,25,90,1,0,0,1,1,29,6,4,1
14870,68.7423706054688,1,15476.5,10036.6537766609,37,55,1,0,0,1,1,19,11,6,0
13935,69.9633712768555,1,11732.6666666667,8685,50,75,1,0,0,0,1,58,9,3,0
13472,66.1782684326172,1,10545.25,8586.86456871096,30,50,0,0,1,0,0,41,16,4,0
14860,91.6971893310547,1,10918.8,6872.33920486775,63,80,0,0,0,0,0,81,11,5,0
14973,77.6556777954102,1,5713.8,6237.44176254601,36,58,1,0,0,1,0,11,5,5,0
13751,21.7338237762451,0,1084.83333333333,1189.5,18,30,1,0,1,0,1,17,10,6,1
13825,40.4151420593262,1,3314.57142857143,1677.66519638081,10,28,1,0,0,0,1,42,6,7,0
13507,45.6654472351074,0,6467.83333333333,5296.03990381788,11,70,1,0,0,0,0,45,8,6,0
14239,89.1330871582031,1,13707.6666666667,14000.7145324395,100,100,0,0,0,1,1,55,14,3,0
13718,64.8351669311523,0,11143.8333333333,12676.5,35,100,0,0,1,1,1,35,11,6,0
13815,67.6434707641602,0,7840.75,8320.5,42,140,1,0,0,0,0,18,11,4,1
15276,58.4859580993652,1,12555.4,8271.91094402683,65,60,0,0,0,0,1,50,11,5,0
13299,60.0732612609863,0,6460,7231.28723775769,20,90,1,0,0,0,0,33,11,4,0
13726,55.0671577453613,1,7802.09090909091,6403.48895603341,30,60,1,0,0,0,0,1,0,11,0
15308,40.4151420593262,0,0,1163.05156667932,0,25,1,0,0,0,0,51,6,7,0
15400,34.9206352233887,1,1432.66666666667,3024.16666666667,8,8,1,0,1,0,1,2,0,6,0
14450,75.3357772827148,0,7060,8734.69116881631,18,90,1,0,0,1,0,45,15,5,0
14632,58.6080589294434,0,8438,9188.77420425893,0,0,1,0,0,0,0,36,11,1,0
14971,83.1501846313477,1,5447.16666666667,7071.10493076748,15,70,1,0,0,0,0,28,11,6,1
15141,64.9572677612305,1,5858,2852.75,40,70,0,0,0,0,1,9,3,4,0
14698,36.752140045166,0,2589.2,1815.54892030983,18,15,0,0,0,0,1,17,11,5,0
14344,68.6202697753906,0,3417.66666666667,4707.19454806786,28,68,0,0,0,0,1,55,9,3,1
14065,68.4981689453125,1,4614,4978.75,32,50,1,0,0,0,0,28,16,8,0
14538,47.0085487365723,0,2351.5,4102.46319786405,60,45,1,0,0,0,1,14,9,4,1
13685,20.5128211975098,0,1992.34995074513,3409.99696883235,40,25,0,0,0,0,1,20,13,9,0
14782,69.7191696166992,0,5888.20475093197,3549.41918466229,18,50,0,1,1,1,1,20,12,6,0
13422,63.8583641052246,0,7105.97916666667,5436.66666666667,36,30,0,0,0,0,0,49,8,3,0
13959,81.3186798095703,1,9703.75,10299.5554454339,75,135,1,0,0,0,0,58,15,4,0
14905,66.7887649536133,1,6901.66666666667,6574.33333333333,75,115,0,0,0,0,0,51,3,3,0
13871,16.3614177703857,0,2902.8,1871.1719014553,7,15,1,0,0,0,0,17,5,5,0
15293,53.4798545837402,0,4057.3,5366.48822092968,35,94,1,0,0,0,1,5,0,10,0
15028,75.0915756225586,0,9208,6565,0,0,1,0,0,1,1,55,16,2,1
14902,68.009765625,1,5831.875,5111.9557736513,40,80,1,0,0,0,0,53,12,8,0
14361,76.8009796142578,1,16946.25,9372.75,35,94,0,0,1,0,1,11,5,4,0
15440,20.8791236877441,0,5625.75,7698.43144580337,40,35,0,0,0,0,1,7,2,4,0
14782,69.7191696166992,0,5888.20475093197,3549.41918466229,18,50,0,0,0,0,0,53,13,6,0
15098,55.1892547607422,0,3345.74025974026,3670.66666666667,20,40,0,0,0,0,0,68,11,3,0
15292,53.4798545837402,0,3522.33333333333,5854.66666666667,58,120,1,0,0,0,1,58,8,3,0
14770,57.99755859375,0,5150,6067.56090428829,30,40,1,1,0,0,1,8,3,5,1
13389,74.7252731323242,0,6115,5497.25,45,70,0,0,0,1,1,42,16,4,0
15442,42.3687438964844,1,4275,3062.23472393915,30,55,0,0,0,1,1,22,12,7,0
14989,85.1037826538086,0,18464.5,10756.0933549191,20,40,1,0,0,1,1,58,16,2,1
14544,62.5152626037598,1,3481.33333333333,3971.66147636593,0,70,0,0,0,0,0,11,5,3,0
14678,21.001220703125,1,4001.4,7442.51242306602,48,28,0,0,0,0,0,19,12,5,0
14652,61.9047622680664,1,2948.83333333333,2134.03393473113,25,40,1,0,0,0,0,15,10,6,0
13309,72.4053726196289,1,5301,6272.72337924788,35,100,1,0,0,1,1,46,14,7,1
14979,64.9572677612305,0,5309.35833333333,5598.81412847929,30,40,0,0,0,0,1,39,14,4,0
13544,80.0976791381836,1,8050.6,3067.70571625989,60,70,1,0,0,1,1,50,11,10,1
14430,38.0952377319336,0,26929,12832.3308802206,0,0,0,0,0,1,0,49,12,2,1
13467,81.1965789794922,0,4825.2,6595.3886241346,39,100,1,0,0,0,0,67,14,5,0
14296,41.758243560791,0,4123.2,2837.6741733275,20,42,1,1,0,1,0,13,7,5,0
14189,9.52381229400635,0,4042.5,3111.05777128945,0,40,0,0,0,0,0,73,3,2,0
14724,56.532356262207,1,5174.87142857143,5059.86060633057,25,32,0,0,0,0,1,45,8,5,1
15342,65.9340667724609,1,6461.6,6805.98027234441,50,80,0,0,1,0,1,15,9,5,0
14130,55.7997550964355,1,4409.71428571429,5752.39934207565,40,72,0,0,0,0,0,19,11,7,1
14422,69.9633712768555,1,9522,9591.00661481513,32,62,1,0,0,0,0,23,14,3,1
14722,22.5885238647461,0,4587,2749.35291232283,12,27,1,0,1,0,0,2,0,5,0
14530,52.8693542480469,1,3648.71428571429,3989.25272208798,30,70,0,0,0,0,0,51,10,7,0
14276,43.7118453979492,1,5315.170740677,6959.19292785334,30,38,0,0,0,0,0,24,13,4,0
15056,47.3748474121094,0,5735.5,6247.75709665145,25,60,1,0,0,0,0,43,11,4,0
13689,37.6068382263184,0,3727.33333333333,3126.08058781482,16,30,0,0,0,0,1,32,7,6,0
14560,53.235652923584,0,3894.8,3409.8,35,35,0,0,0,0,0,38,11,5,0
14763,55.1892547607422,1,2547.5,3883.31438283031,20,25,0,1,0,0,0,18,11,4,0
14115,79.7313766479492,1,8952.31237362456,3758.73773521948,0,120,0,0,0,0,0,83,11,6,0
13763,57.8754577636719,1,3500.66666666667,3712.15947235808,42,66,1,0,0,1,0,51,16,3,0
14360,59.9511604309082,0,2470.57142857143,3659.42857142857,29,48,1,1,0,0,1,53,8,7,0
14086,82.539680480957,0,7639.65561858065,14044.6301287286,42,112,1,1,1,1,0,69,16,3,0
13743,67.521369934082,0,10917,10008,35,90,1,0,0,0,1,55,11,2,0
14758,72.4053726196289,1,8703.66666666667,4357.43319010211,40,60,0,0,0,0,1,76,6,3,0
14636,51.2820510864258,1,8171.08571428571,3631.28267877109,40,50,1,0,0,0,1,7,2,5,0
13657,61.7826614379883,1,4597.2,3784.39856260028,28,60,0,0,0,0,1,80,0,5,0
14545,78.6324768066406,1,14610.4,4628.64947377282,40,75,1,0,0,0,1,21,14,5,0
13875,70.3296737670898,0,4716.66666666667,5051.4124853946,13,47,0,0,0,1,1,35,13,6,0
13818,46.764347076416,0,3001.2,4307.59914182131,17,15,1,0,1,0,0,15,8,5,0
14171,55.3113555908203,0,19211,3709.8,0,25,0,0,0,1,0,68,6,5,0
14984,63.1257629394531,0,3131.6,4490.2,20,35,0,1,0,0,0,34,16,5,0
14233,71.7948760986328,0,2289.25,2297.62896623124,50,100,0,0,0,0,1,35,16,4,1
13488,33.3333320617676,0,6378,3616.84534100216,18,18,1,0,0,0,1,23,14,3,1
15288,62.6373634338379,0,4586.5,6732.5,35,100,1,0,0,0,0,56,9,2,0
13821,25.8852272033691,0,3960.2756097561,2663.69940999702,30,18,1,0,0,0,0,42,6,5,0
14724,56.532356262207,1,5174.87142857143,5059.86060633057,25,32,0,0,0,0,0,11,6,5,1
13902,74.1147766113281,1,5609.8,5162.49002555049,31,80,0,0,0,1,1,40,14,5,1
15348,53.1135559082031,0,16250.6666666667,7271.66666666667,32,41,1,0,0,0,1,5,0,3,0
14578,50.5494499206543,0,3594.375,3875.375,45,45,0,0,0,0,1,30,11,8,1
14001,69.5970687866211,0,7625.28701320981,2684.66666666667,0,0,0,0,0,0,0,36,7,3,0
14513,72.1611709594727,0,6803.54407821154,10558.7378894598,118,50,1,0,0,0,0,14,8,4,0
13528,57.3870582580566,0,5178.6,7173,40,50,0,0,0,0,0,13,7,5,0
14131,34.7985382080078,0,3133,3561.28639635284,113,45,0,0,0,0,0,35,11,7,0
13717,58.3638610839844,1,4404.57142857143,3472.62121562095,10,56,1,0,0,0,1,56,6,7,0
14506,57.8754577636719,1,8731.61237995897,2767.04837178877,26,33,1,0,0,0,0,28,14,5,0
13718,64.8351669311523,0,11143.8333333333,12676.5,35,100,1,0,1,0,0,13,4,6,0
14920,77.4114761352539,1,8126.33333333333,4570.93191618002,60,60,0,0,0,0,1,3,0,6,0
14352,60.1953620910645,1,14748.5,4440,20,22,0,0,0,0,0,40,11,2,0
15130,71.9169692993164,0,6920,5845.2831628976,0,0,1,0,0,0,1,61,9,3,1
13838,90.7203903198242,1,18019.5714285714,15374.6995621183,80,130,1,0,0,0,0,45,18,7,0
15042,83.516487121582,1,50126.6,12468.6,75,270,0,0,0,0,0,53,17,5,0
13390,68.986572265625,0,4824.5,4278.78729100596,23,120,0,1,0,0,0,60,11,2,0
15024,79.1208801269531,0,6185,7632.18704163824,80,120,0,0,0,0,1,69,6,2,0
15434,49.4505500793457,1,21286.5,7532.75,35,28,0,0,0,0,1,42,10,4,0
14523,67.6434707641602,1,9138.25,12143.6709848544,30,55,1,0,0,0,0,53,12,4,0
13500,57.99755859375,0,3261.75,3987.76163295506,18,60,0,0,0,0,1,14,8,4,1
15112,80.3418807983398,1,50244,21523.1667016078,100,245,0,1,0,0,0,53,16,3,1
14874,70.6959686279297,1,9148.66666666667,6365.99088870681,0,0,1,0,0,0,1,21,14,3,1
14904,83.0280838012695,1,16188,23947.2935643594,49,72,0,0,0,0,1,20,11,3,1
14427,72.1611709594727,1,5341.46991685563,3230.36700351698,69,89,1,1,0,0,1,51,14,9,0
14610,68.009765625,0,5453,4112.4,30,80,0,1,0,0,0,69,11,5,1
14272,53.8461570739746,1,4234.6,3026.31625596264,0,0,1,0,0,1,0,47,11,5,0
13538,71.3064727783203,1,14503.4,4225.55556301693,25,63,0,0,0,0,0,26,14,5,0
13802,28.2051296234131,0,9784,5398.98941252358,0,20,1,0,0,0,0,38,9,1,0
15030,74.1147766113281,0,3008,14925.0200942566,60,35,0,0,0,1,1,63,10,1,1
14606,71.3064727783203,0,15887,10666.6819370934,33,60,0,1,0,0,1,52,8,1,1
15246,86.3247833251953,0,7239.4,9277.43731418919,69,105,0,0,1,0,0,5,0,5,0
14578,50.5494499206543,0,3594.375,3875.375,45,45,0,0,0,0,0,27,9,8,1
14339,40.7814407348633,1,6529.09090909091,4364.62562536709,26,45,0,0,0,0,1,56,6,6,0
13685,20.5128211975098,0,1992.34995074513,3409.99696883235,40,25,0,0,0,0,1,17,7,9,0
15056,47.3748474121094,0,5735.5,6247.75709665145,25,60,0,0,0,0,1,3,0,4,0
15261,73.5042724609375,1,13499,14457.5415429527,85,102,1,0,0,0,1,44,17,2,1
14609,73.5042724609375,0,7390.8,5209.50851096205,25,50,1,0,1,1,1,52,11,5,0
14957,83.0280838012695,1,25350.75,17155.2999788313,80,170,0,0,0,0,1,51,14,4,0
15056,47.3748474121094,0,5735.5,6247.75709665145,25,60,1,0,0,1,1,64,6,4,0
14836,28.3272304534912,0,6056,3211.49093069508,15,55,0,0,0,0,1,13,8,4,0
14530,52.8693542480469,1,3648.71428571429,3989.25272208798,30,70,1,0,0,0,1,19,11,7,0
14664,45.7875480651855,0,5687,6846.60058161009,15,20,1,0,0,0,1,52,11,3,1
14462,46.8864479064941,0,1409,3115.32134364075,20,50,1,0,1,0,1,0,0,4,1
13629,95.6044006347656,0,3572,7724.90146796199,30,40,0,0,0,0,0,7,1,4,0
15259,69.8412704467773,0,8610.92083708564,9865.66666666667,149,192,0,0,0,0,0,23,12,3,1
14580,20.7570209503174,0,689.5,1800.112445526,18,33,0,0,0,0,0,47,9,6,0
14714,18.3150177001953,0,2771.8,3211.14592147605,6,19,0,0,0,0,0,44,12,5,0
14281,74.9694747924805,1,4566.5,5877.05568221007,36,40,1,0,0,0,1,18,11,4,0
14726,41.5140419006348,1,6516.7,4340.9417062404,22,17,0,0,0,0,1,10,4,10,1
13483,48.5958480834961,0,2080.8,3716.53556816403,32,40,1,0,0,0,1,12,7,5,1
13498,34.6764373779297,0,2573.75,4618.06720312389,24,20,0,0,0,0,0,30,11,4,0
14654,56.1660575866699,0,7791.6,5104.70725117442,29,76,1,0,0,0,0,55,6,5,0
13726,55.0671577453613,1,7802.09090909091,6403.48895603341,30,60,1,0,0,0,1,11,4,11,0
13372,47.8632469177246,0,201,7456.02696256765,45,100,0,0,0,0,0,46,11,3,0
15244,55.7997550964355,1,4938,7243.05205529008,60,95,0,0,0,0,1,22,14,6,0
14705,62.2710647583008,1,11724.75,6510.125,50,88,1,1,0,0,1,24,11,8,1
13886,63.4920654296875,0,5624.23292136082,5127.33333333333,40,50,0,0,0,0,1,25,17,3,1
14339,40.7814407348633,1,6529.09090909091,4364.62562536709,26,45,0,0,0,0,0,14,8,6,0
14548,60.4395599365234,0,2669.75,6354.02503672981,20,60,0,0,0,0,1,30,14,4,1
14310,53.3577537536621,1,13424.25,9141,18,40,0,0,0,0,1,9,2,4,0
14451,67.0329666137695,0,4207,7330,35,35,1,0,0,0,1,13,6,3,1
14819,76.3125762939453,1,11004.75,7259.87373356968,53,85,0,1,0,0,1,26,17,4,0
14813,62.2710647583008,0,9190.66666666667,5593.13432801992,24,54,0,0,0,0,0,59,6,3,0
14528,63.7362632751465,0,7626,6478.93845140414,0,100,1,0,0,0,0,19,11,6,0
